DBN,tract_fips_2020,median_household_income
02M001,002700,134583.0
02M002,000600,25655.0
02M003,007300,146964.0
02M006,014200,250001.0
02M011,008900,95355.0
02M033,009700,67218.0
02M040,006400,118201.0
02M041,007100,173615.0
02M042,001600,46860.0
02M051,012901,117622.0
02M059,010803,160111.0
02M077,015801,159712.0
02M089,031703,250001.0
02M111,013300,111223.0
02M116,007002,143183.0
02M124,001600,46860.0
02M130,004100,100096.0
02M150,003900,190588.0
02M151,014402,141232.0
02M158,013202,80132.0
02M183,011600,90938.0
02M198,015801,159712.0
02M212,012700,145488.0
02M217,023804,180677.0
02M225,011800,159134.0
02M234,003900,190588.0
02M267,011000,163371.0
02M281,008601,161548.0
02M290,013800,134167.0
02M340,005400,152018.0
02M343,001501,119293.0
02M527,015402,138413.0
