DBN,School Name,pre_covid_baseline_mean,current_2024_25,pct_vs_pre_covid,beta_pre,covid_shock_gamma,post_covid_slope,base_forecast_2027_28,pessimistic_forecast_2027_28,optimistic_forecast_2027_28,risk_flag,n_pre_covid_years,n_post_covid_years
02M001,P.S. 001 Alfred E. Smith,333.4,160,-0.52,-35.86,13.2,-12.6,160,122.0,333.0,Red,7,5
02M002,P.S. 002 Meyer London,592.3,317,-0.465,-62.39,33.1,-24.8,317,243.0,592.0,Red,7,5
02M003,P.S. 003 Charrette School,715.0,483,-0.324,-19.21,-101.1,-17.2,483,431.0,715.0,Red,7,5
02M006,P.S. 006 Lillie D. Blake,657.4,539,-0.18,-31.39,-30.3,3.5,539,550.0,657.0,Yellow,7,5
02M011,P.S. 011 William T. Harris,875.6,643,-0.266,9.79,-151.7,-28.4,643,558.0,876.0,Red,7,5
02M033,P.S. 033 Chelsea Prep,589.6,576,-0.023,4.43,-113.1,21.1,576,639.0,590.0,Green,7,5
02M040,P.S. 040 Augustus Saint-Gaudens,628.9,521,-0.172,15.71,-83.3,-24.9,521,446.0,629.0,Yellow,7,5
02M041,P.S. 041 Greenwich Village,677.9,409,-0.397,-22.39,-125.1,-17.2,409,357.0,678.0,Red,7,5
02M042,P.S. 042 Benjamin Altman,638.3,424,-0.336,-43.07,25.2,-20.7,424,362.0,638.0,Red,7,5
02M051,P.S. 051 Elias Howe,353.3,393,0.112,23.04,-60.0,-0.2,393,392.0,353.0,Green,7,5
02M059,P.S. 059 Beekman Hill International,590.6,499,-0.155,1.71,-45.4,-16.7,499,449.0,591.0,Yellow,7,5
02M077,P.S. 77 Lower Lab School,354.6,363,0.024,2.68,-14.3,4.6,363,377.0,355.0,Green,7,5
02M089,P.S. 89,406.1,306,-0.247,-0.57,-91.7,-2.6,306,298.0,406.0,Yellow,7,5
02M111,P.S. 111 Adolph S. Ochs,329.1,350,0.063,15.0,-51.1,1.3,350,354.0,329.0,Green,7,5
02M116,P.S. 116 Mary Lindley Murray,554.9,351,-0.367,-47.04,-22.3,-4.7,351,337.0,555.0,Red,7,5
02M124,P.S. 124 Yung Wing,710.0,429,-0.396,-38.57,20.7,-38.9,429,312.0,710.0,Red,7,5
02M130,P.S. 130 Hernando De Soto,898.4,512,-0.43,-36.46,-65.2,-45.9,512,374.0,898.0,Red,7,5
02M150,P.S. 150,168.3,255,0.515,1.11,-38.3,25.5,255,332.0,168.0,Green,7,5
02M151,Yorkville Community School,491.7,277,-0.437,-34.8,-4.7,-24.7,277,203.0,492.0,Red,6,5
02M158,P.S. 158 Bayard Taylor,711.6,557,-0.217,6.14,-133.9,-12.0,557,521.0,712.0,Yellow,7,5
02M183,P.S. 183 Robert L. Stevenson,561.1,504,-0.102,-10.54,-32.6,1.6,504,509.0,561.0,Yellow,7,5
02M198,P.S. 198 Isador E. Ida Straus,435.1,474,0.089,-4.64,-30.2,20.0,474,534.0,435.0,Green,7,5
02M212,P.S. 212 Midtown West,336.9,275,-0.184,-2.54,-55.3,-1.9,275,269.0,337.0,Yellow,7,5
02M217,P.S./I.S. 217 Roosevelt Island,480.3,542,0.128,16.5,-22.9,7.5,542,565.0,480.0,Green,7,5
02M225,Ella Baker School,210.4,213,0.012,6.0,-3.4,-18.0,213,105.0,208.0,Green,7,2
02M234,P.S. 234 Independence School,688.4,462,-0.329,-24.46,-127.0,2.7,462,470.0,688.0,Red,7,5
02M267,"East Side Elementary School, PS 267",395.6,353,-0.108,21.5,-65.3,-11.3,353,319.0,396.0,Yellow,5,5
02M290,P.S. 290 Manhattan New School,601.1,354,-0.411,-24.29,-114.4,-11.0,354,321.0,601.0,Red,7,5
02M343,The Peck Slip School,420.3,266,-0.367,8.5,-78.1,-21.3,266,202.0,420.0,Red,3,5
02M527,P.S. 527 - East Side School for Social Action,432.7,379,-0.124,46.5,-70.9,-20.7,379,317.0,433.0,Yellow,3,5
